Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016]
Afghanistan,AFG,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..,..
Afghanistan,AFG,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..,..
Afghanistan,AFG,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,66.3,..
Afghanistan,AFG,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,91.1,..
Afghanistan,AFG,Number of infant deaths,SH.DTH.IMRT,67399,..
Afghanistan,AFG,Number of neonatal deaths,SH.DTH.NMRT,36242,..
Afghanistan,AFG,Number of under-five deaths,SH.DTH.MORT,94261,..
Afghanistan,AFG,"Population, total",SP.POP.TOTL,32526562,33370000
Afghanistan,AFG,Rural population,SP.RUR.TOTL,23840994,24316000
Afghanistan,AFG,Urban population,SP.URB.TOTL,8685568,9054000
Afghanistan,AFG,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,..,..
Bangladesh,BGD,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..,..
Bangladesh,BGD,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..,..
Bangladesh,BGD,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,30.7,..
Bangladesh,BGD,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,37.6,..
Bangladesh,BGD,Number of infant deaths,SH.DTH.IMRT,97478,..
Bangladesh,BGD,Number of neonatal deaths,SH.DTH.NMRT,74378,..
Bangladesh,BGD,Number of under-five deaths,SH.DTH.MORT,119326,..
Bangladesh,BGD,"Population, total",SP.POP.TOTL,160995642,162911000
Bangladesh,BGD,Rural population,SP.RUR.TOTL,105811166,105835000
Bangladesh,BGD,Urban population,SP.URB.TOTL,55184476,57076000
Bangladesh,BGD,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,..,..
Belarus,BLR,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..,..
Belarus,BLR,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..,..
Belarus,BLR,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,3.4,..
Belarus,BLR,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,4.6,..
Belarus,BLR,Number of infant deaths,SH.DTH.IMRT,428,..
Belarus,BLR,Number of neonatal deaths,SH.DTH.NMRT,239,..
