Series Name,Series Code,Country Name,Country Code,2015 [YR2015]
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Afghanistan,AFG,6900
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Albania,ALB,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Algeria,DZA,8800
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,American Samoa,ASM,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Andorra,ADO,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Angola,AGO,320000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Antigua and Barbuda,ATG,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Arab World,ARB,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Argentina,ARG,110000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Armenia,ARM,3600
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Aruba,ABW,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Australia,AUS,27000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Austria,AUT,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Azerbaijan,AZE,11000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,"Bahamas, The",BHS,8100
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Bahrain,BHR,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Bangladesh,BGD,9600
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Barbados,BRB,2600
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Belarus,BLR,35000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Belgium,BEL,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Belize,BLZ,3600
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Benin,BEN,69000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Bermuda,BMU,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Bhutan,BTN,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Bolivia,BOL,18000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Bosnia and Herzegovina,BIH,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Botswana,BWA,350000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Brazil,BRA,830000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,British Virgin Islands,VGB,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Brunei Darussalam,BRN,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Bulgaria,BGR,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Burkina Faso,BFA,95000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Burundi,BDI,77000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Cabo Verde,CPV,3200
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Cambodia,KHM,74000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Cameroon,CMR,620000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Canada,CAN,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Caribbean small states,CSS,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Cayman Islands,CYM,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Central African Republic,CAF,120000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Central Europe and the Baltics,CEB,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Chad,TCD,170000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Channel Islands,CHI,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Chile,CHL,32000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,China,CHN,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Colombia,COL,150000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Comoros,COM,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,"Congo, Dem. Rep.",ZAR,370000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,"Congo, Rep.",COG,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Costa Rica,CRI,10000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Cote d'Ivoire,CIV,460000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Croatia,HRV,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Cuba,CUB,22000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Curacao,CUW,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Cyprus,CYP,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Czech Republic,CZE,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Denmark,DNK,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Djibouti,DJI,9400
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Dominica,DMA,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Dominican Republic,DOM,68000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Early-demographic dividend,EAR,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,East Asia & Pacific,EAS,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,East Asia & Pacific (excluding high income),EAP,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,East Asia & Pacific (IDA & IBRD countries),TEA,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Ecuador,ECU,29000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,"Egypt, Arab Rep.",EGY,11000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,El Salvador,SLV,20000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Equatorial Guinea,GNQ,27000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Eritrea,ERI,14000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Estonia,EST,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Ethiopia,ETH,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Euro area,EMU,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Europe & Central Asia,ECS,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Europe & Central Asia (excluding high income),ECA,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Europe & Central Asia (IDA & IBRD countries),TEC,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,European Union,EUU,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Faroe Islands,FRO,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Fiji,FJI,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Finland,FIN,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Fragile and conflict affected situations,FCS,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,France,FRA,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,French Polynesia,PYF,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Gabon,GAB,47000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,"Gambia, The",GMB,21000
